,role,company_name,work_experience,location,skills,post_date,link
38,Urgent Hiring // Onboarding Trainer // Mumbai  & Ahmedabad,Cars24,2-7 Yrs,"Ahmedabad, Mumbai (All Areas)","['Training', 'Process Training', 'Trainer', 'NHT', 'TNA', 'OJT', 'Sales Training', 'TNI']",Few Hours Ago,https://www.naukri.com/job-listings-urgent-hiring-onboarding-trainer-mumbai-ahmedabad-cars24-ahmedabad-mumbai-all-areas-2-to-7-years-281223002842
39,Operations Specialist (Data Quality Managment-2),Deutsche Bank,5-9 Yrs,Bangalore/Bengaluru,"['Visual Basic', 'MATLAB', 'SQL', 'Python', 'data quality', 'data management', 'quality management', 'data analysis']",Few Hours Ago,https://www.naukri.com/job-listings-operations-specialist-data-quality-managment-2-deutsche-bank-ag-bangalore-bengaluru-5-to-9-years-260124907006
40,Physical Design Engineer,Intel,5-10 Yrs,Bangalore/Bengaluru,"['Physical Design', 'RTL2GDS', 'IR/EM analysis', 'DRC/LVS', 'EDA tools', 'PnR', 'VCLP', 'Formal verification']",Few Hours Ago,https://www.naukri.com/job-listings-physical-design-engineer-intel-technology-india-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124906927
41,Regulatory Operations Analyst,Deutsche Bank,9-12 Yrs,Bangalore/Bengaluru,"['Regulatory Operations', 'data analysis techniques', 'Business Management Project Management', 'people management', 'Data analysis', 'Regulatory', 'Analysis', 'Business management']",Few Hours Ago,https://www.naukri.com/job-listings-regulatory-operations-analyst-deutsche-bank-ag-bangalore-bengaluru-9-to-12-years-260124906904
42,Fullstack Software Developer,Bandi Informatics,8-12 Yrs,Chennai,"['Java', 'C++', 'Zigbee', 'Lora', 'MATLAB', 'Bluetooth', 'Azure', 'FDA']",Few Hours Ago,https://www.naukri.com/job-listings-fullstack-software-developer-bandi-informatics-chennai-8-to-12-years-260124006896
43,"Financial, Regulatory and Risk Reporting Analyst, Associate",Deutsche Bank,2-4 Yrs,Mumbai,"['SQL', 'RWA calculations', 'system architecture', 'Risk Control Accounting', 'Business Data Modelling', 'Investment Banking Product', 'Data Analytics', 'Business Impact Analysis']",Few Hours Ago,https://www.naukri.com/job-listings-financial-regulatory-and-risk-reporting-analyst-associate-deutsche-bank-ag-mumbai-2-to-4-years-260124906885
44,Talent & Development Specialist,Deutsche Bank,2-7 Yrs,Bangalore/Bengaluru,"['Vendor Management', 'Purchase Orders', 'Succession Planning', 'Project Management', 'Agile', 'Jira', 'Purchase order', 'Development']",Few Hours Ago,https://www.naukri.com/job-listings-talent-development-specialist-deutsche-bank-ag-bangalore-bengaluru-2-to-7-years-260124906859
45,.Net Full Stack Development-Application Lead,Accenture,5-10 Yrs,Mumbai,"['Web application development', 'Front end', 'SQL database', 'Database design', 'ASP.Net', 'Front', 'Web technologies', 'Development']",Few Hours Ago,https://www.naukri.com/job-listings-net-full-stack-development-application-lead-accenture-solutions-pvt-ltd-mumbai-5-to-10-years-260124906846
46,Data Architecture Principles-Data Architect,Accenture,10-12 Yrs,Mumbai,"['Data analysis', 'data governance', 'Data architecture', 'Team leading', 'Data', 'Governance', 'Analysis', 'Team']",Few Hours Ago,https://www.naukri.com/job-listings-data-architecture-principles-data-architect-accenture-solutions-pvt-ltd-mumbai-10-to-12-years-260124906841
47,"Data Quality Analyst, AVP",Deutsche Bank,10-20 Yrs,Pune,"['data management', 'data quality', 'Collibra', 'data governance', 'data architecture', 'DQ tooling', 'Governance', 'Management']",Few Hours Ago,https://www.naukri.com/job-listings-data-quality-analyst-avp-deutsche-bank-ag-pune-10-to-20-years-260124906836
